id_corrida,id_piloto,duracao_parada_seg
841,153,26.898
841,30,25.021
841,17,23.426
841,4,23.251
841,13,23.842
841,22,23.643
841,20,22.603
841,814,24.863
841,816,25.259
841,67,25.342
841,2,22.994
841,1,23.227
841,808,24.535
841,3,23.716
841,155,24.064
841,16,25.978
841,15,24.899
841,18,16.867
841,153,24.463
841,5,24.865
841,30,23.988
841,10,23.792
841,18,23.303
841,815,23.438
841,17,22.52
841,4,24.733
841,22,16.892
841,67,23.1
841,2,25.098
841,13,24.5
841,155,24.192
841,20,24.036
841,1,23.199
841,153,26.348
841,808,25.683
841,814,24.332
841,18,22.681
841,16,23.871
841,15,24.848
841,816,26.446
841,17,26.23
841,22,26.309
841,4,24.181
841,13,24.095
842,17,22.572
842,814,22.773
842,1,22.552
842,20,23.019
842,2,23.9
842,18,22.4
842,13,29.224
842,15,25.516
842,4,23.152
842,30,22.576
842,808,23.182
842,67,23.28
842,3,24.967
842,5,29.084
842,153,23.584
842,16,22.046
842,155,23.28
842,815,23.597
842,10,24.617
842,816,26.252
842,24,27.815
842,22,24.502
842,67,29.843
842,17,21.991
842,18,22.471
842,1,22.611
842,814,22.419
842,20,21.893
842,4,23.894
842,2,23.221
842,13,22.541
842,808,22.68
842,30,22.261
842,3,22.577
842,17,22.069
842,153,22.888
842,16,22.55
842,67,27.439
842,5,23.336
842,10,24.429
842,816,24.416
842,155,23.442
842,1,25.382
842,814,23.977
842,18,22.483
842,13,22.893
842,2,22.602
842,24,26.554
842,3,22.526
842,20,22.313
842,4,23.812
842,30,22.227
842,17,22.161
842,808,28.694
842,4,27.182
842,1,22.466
843,153,22.419
843,24,14.16
843,30,20.522
843,17,23.442
843,813,23.16
843,814,21.989
843,3,20.771
843,67,22.01
843,18,23.779
843,20,21.995
843,155,21.855
843,13,21.624
843,1,20.878
843,16,20.989
843,4,22.524
843,815,21.473
843,22,21.709
843,67,24.722
843,10,22.683
843,808,21.981
843,2,22.216
843,5,22.485
843,15,23.029
843,816,22.901
843,24,24.467
843,39,26.049
843,18,20.758
843,3,22.005
843,1,20.533
843,17,21.132
843,813,22.062
843,30,21.964
843,10,21.908
843,16,21.058
843,155,21.936
843,2,21.821
843,20,21.533
843,4,21.251
843,814,21.218
843,13,21.168
843,67,21.928
843,816,22.802
843,22,21.481
843,815,23.397
843,18,21.237
843,808,22.005
843,1,20.567
843,3,20.72
843,30,21.4
843,17,21.091
843,5,21.89
843,813,27.62
843,15,22.26
843,24,23.499
843,16,28.708
843,815,13.9
843,815,28.845
844,815,29.27
844,808,21.422
844,13,22.022
844,1,20.833
844,67,21.769
844,17,21.05
844,4,21.308
844,3,22.573
844,2,22.3
844,22,22.717
844,16,21.649
844,20,20.623
844,814,20.775
844,813,23.881
844,18,21.368
844,155,21.82
844,153,22.713
844,15,23.066
844,30,20.907
844,39,27.353
844,5,22.854
844,24,24.634
844,815,22.895
844,816,22.779
844,808,21.323
844,1,21.075
844,17,20.421
844,3,20.927
844,2,21.919
844,4,21.732
844,13,21.322
844,67,22.128
844,155,23.455
844,22,22.868
844,814,20.93
844,20,20.112
844,16,21.084
844,813,22.555
844,15,22.862
844,18,22.639
844,39,24.962
844,153,21.826
844,30,20.379
844,5,21.633
844,814,20.887
844,815,22.365
844,3,20.949
844,816,24.837
844,808,21.838
844,13,23.471
844,17,20.843
844,4,21.702
844,2,20.872
844,24,25.125
844,155,22.456
844,18,21.417
844,153,21.986
844,20,20.385
844,15,22.219
844,67,22.032
844,22,21.687
844,16,21.006
844,813,21.827
844,815,21.715
844,3,20.308
844,814,21.403
844,17,22.087
844,808,21.662
844,30,20.597
844,4,21.379
844,813,13.925
844,1,22.041
844,2,21.884
844,13,26.685
844,20,20.489
844,39,24.474
844,5,23.114
844,153,21.931
845,155,24.871
845,815,23.592
845,813,22.689
845,20,20.253
845,67,20.818
845,4,20.567
845,17,20.881
845,30,20.084
845,1,19.761
845,808,21.856
845,3,20.647
845,13,20.8
845,153,20.741
845,22,29.936
845,16,20.773
845,18,20.015
845,39,24.843
845,814,20.07
845,15,22.364
845,5,21.019
845,24,23.157
845,10,22.744
845,816,23.176
845,20,19.887
845,4,20.238
845,17,20.079
845,813,24.821
845,13,21.635
845,2,21.322
845,1,20.235
845,22,21.226
845,153,20.872
845,67,24.745
845,155,21.128
845,30,20.487
845,808,24.232
845,3,19.534
845,4,20.738
845,17,20.279
845,5,20.807
845,815,21.143
845,15,21.723
845,39,24.448
845,18,20.763
845,16,20.267
845,814,20.126
845,20,20.426
845,1,20.473
845,816,22.982
845,22,20.65
845,13,22.419
845,813,21.574
845,2,21.953
845,153,21.019
845,4,20.38
845,10,21.632
845,30,20.451
845,808,21.739
845,5,23.068
845,3,20.395
845,67,20.819
845,15,23.001
845,155,20.5
845,17,19.984
845,20,20.292
845,815,21.829
845,18,20.107
845,1,20.988
845,16,23.23
845,39,24.298
845,2,20.796
845,153,23.143
845,816,21.708
845,814,20.573
845,813,22.077
845,10,21.17
845,22,20.637
846,18,25.28
846,3,25.189
846,20,28.536
846,4,25.352
846,5,26.477
846,814,24.97
846,10,26.827
846,15,25.595
846,813,26.468
846,13,26.615
846,39,28.325
846,814,19.36
846,808,28.856
846,153,25.907
846,22,25.921
846,18,26.421
846,2,25.851
846,67,26.073
846,3,25.31
846,24,28.298
846,816,27.577
846,155,28.642
846,16,25.037
846,1,19.347
846,15,26.065
846,18,24.67
846,1,26.977
846,5,25.878
846,3,25.116
846,813,25.687
846,17,26.269
846,153,27.55
846,67,25.045
846,816,26.464
846,16,27.879
846,22,25.675
846,2,26.281
847,18,23.65
847,24,27.202
847,18,14.501
847,22,23.305
847,16,24.052
847,4,23.893
847,3,23.105
847,813,23.571
847,67,23.949
847,816,24.143
847,30,24.472
847,4,26.348
847,18,23.868
847,3,22.986
847,153,26.045
847,22,25.066
847,813,24.943
847,20,23.872
847,17,29.546
847,67,24.649
847,13,24.886
847,30,24.196
847,816,24.655
847,30,22.832
847,16,22.923
847,10,24.425
847,22,24.684
847,67,23.97
847,2,23.113
847,814,22.479
847,18,23.589
847,153,24.863
847,813,23.593
847,155,23.687
847,13,22.742
847,808,23.816
847,17,22.402
847,4,26.129
847,3,22.735
847,15,23.332
847,816,14.538
847,20,22.958
847,39,29.115
847,814,28.63
847,16,14.565
847,17,22.77
847,22,23.059
847,67,26.561
847,814,14.538
847,18,23.741
847,153,23.338
847,813,23.7
847,10,25.079
847,39,29.54
