id_corrida,id_piloto,id_equipe,id_status
18,1,1,1
18,2,2,1
18,3,3,1
18,4,4,1
18,5,1,1
18,6,3,11
18,7,5,5
18,8,6,5
18,9,2,4
18,10,7,3
18,11,8,7
18,12,4,8
18,13,6,5
18,14,9,4
18,15,7,10
18,16,10,9
18,17,9,4
18,18,11,4
18,19,8,4
18,20,5,4
18,21,10,4
18,22,11,2
19,8,6,1
19,9,2,1
19,5,1,1
19,15,7,1
19,1,1,1
19,2,2,1
19,17,9,1
19,4,4,1
19,14,9,1
19,18,11,1
19,12,4,1
19,21,10,11
19,22,11,11
19,3,3,11
19,19,8,11
19,11,8,12
19,6,3,12
19,20,5,5
19,13,6,20
19,16,10,9
19,10,7,4
19,7,5,20
20,13,6,1
20,8,6,1
20,9,2,1
20,2,2,1
20,5,1,1
20,15,7,1
20,17,9,1
20,3,3,1
20,10,7,1
20,4,4,1
20,22,11,1
20,21,10,11
20,1,1,11
20,6,3,11
20,7,5,11
20,19,8,11
20,11,8,11
20,14,9,11
20,16,10,12
20,12,4,6
20,18,11,4
20,20,5,5
21,8,6,1
21,13,6,1
21,1,1,1
21,9,2,1
21,17,9,1
21,18,11,1
21,6,3,1
21,15,7,1
21,2,2,1
21,21,10,11
21,10,7,11
21,14,9,11
21,11,8,11
21,3,3,5
21,4,4,5
21,22,11,4
21,5,1,3
21,19,8,21
21,7,5,4
21,12,4,4
21,16,10,4
21,20,5,4
22,13,6,1
22,1,1,1
22,8,6,1
22,9,2,1
22,2,2,1
22,4,4,1
22,17,9,1
22,3,3,1
22,14,9,1
22,15,7,1
22,18,11,11
22,5,1,11
22,10,7,11
22,22,11,11
22,12,4,11
22,16,10,11
22,20,5,11
22,7,5,22
22,6,3,4
22,21,10,4
23,1,1,1
23,9,2,1
23,13,6,1
23,17,9,1
23,20,5,1
23,22,11,1
23,6,3,1
23,5,1,1
23,8,6,1
23,4,4,11
23,18,11,11
23,10,7,11
23,15,7,11
23,2,2,14
23,16,10,4
23,3,3,3
23,12,4,3
23,21,10,6
23,14,9,3
23,7,5,4
24,9,2,1
24,2,2,1
24,14,9,1
24,10,7,1
24,13,6,1
24,15,7,1
24,22,11,1
24,20,5,1
24,5,1,1
24,3,3,1
24,18,11,1
24,17,9,1
24,7,5,11
24,21,10,20
24,6,3,3
24,4,4,20
24,12,4,23
24,8,6,4
24,1,1,4
24,16,10,6
25,13,6,1
25,8,6,1
25,15,7,1
25,5,1,1
25,9,2,1
25,17,9,1
25,12,4,1
25,4,4,1
25,14,9,1
25,1,1,1
25,10,7,1
25,20,5,1
25,2,2,1
25,22,11,11
25,6,3,11
25,3,3,11
25,7,5,11
25,21,10,11
25,16,10,11
25,18,11,4
26,1,1,1
26,2,2,1
26,22,11,1
26,8,6,11
26,5,1,11
26,4,4,11
26,15,7,11
26,6,3,11
26,3,3,11
26,17,9,11
26,7,5,11
26,10,7,11
26,13,6,12
26,9,2,20
26,18,11,20
26,12,4,20
26,21,10,20
26,16,10,20
26,20,5,4
26,14,9,4
27,1,1,1
27,12,4,1
27,13,6,1
27,2,2,1
27,5,1,1
27,8,6,1
27,9,2,1
27,20,5,1
27,15,7,1
27,3,3,1
27,4,4,1
27,7,5,1
27,14,9,1
27,6,3,1
27,16,10,1
27,21,10,1
27,18,11,11
27,22,11,4
27,17,9,5
27,10,7,22
28,5,1,1
28,10,7,1
28,8,6,1
28,4,4,1
28,1,1,1
28,12,4,1
28,15,7,1
28,9,2,1
28,17,9,1
28,2,2,1
28,14,9,1
28,18,11,11
28,6,3,11
28,3,3,11
28,21,10,11
28,22,11,12
28,13,6,5
28,7,5,13
28,16,10,23
28,20,5,25
29,13,6,1
29,1,1,1
29,9,2,1
29,5,1,1
29,15,7,1
29,20,5,1
29,10,7,1
29,3,3,1
29,2,2,1
29,7,5,1
29,12,4,1
29,17,9,11
29,18,11,11
29,21,10,11
29,6,3,11
29,22,11,11
29,14,9,11
29,8,6,5
29,16,10,3
29,4,4,4
30,13,6,1
30,2,2,1
30,1,1,1
30,4,4,1
30,20,5,1
30,9,2,1
30,7,5,1
30,17,9,1
30,10,7,1
30,5,1,6
30,14,9,11
30,3,3,11
30,16,10,11
30,6,3,11
30,18,11,11
30,15,7,11
30,21,10,11
30,8,6,20
30,22,11,6
30,12,4,20
31,20,5,1
31,5,1,1
31,9,2,1
31,4,4,1
31,2,2,1
31,13,6,1
31,1,1,1
31,17,9,1
31,8,6,1
31,12,4,1
31,10,7,1
31,6,3,1
31,15,7,1
31,3,3,1
31,18,11,1
31,14,9,11
31,22,11,11
31,7,5,11
31,16,10,12
31,21,10,3
32,4,4,1
32,3,3,1
32,1,1,1
32,10,7,1
32,20,5,1
32,2,2,1
32,14,9,1
32,6,3,1
32,18,11,1
32,5,1,1
32,9,2,1
32,7,5,1
32,13,6,1
32,21,10,1
32,8,6,3
32,15,7,9
32,16,10,3
32,17,9,7
32,22,11,26
32,12,4,3
33,4,4,1
33,9,2,1
33,8,6,1
33,12,4,1
33,15,7,1
33,20,5,1
33,13,6,1
33,17,9,1
33,2,2,1
33,7,5,1
33,3,3,1
33,1,1,1
33,22,11,11
33,18,11,11
33,6,3,11
33,21,10,6
33,5,1,5
33,16,10,27
33,10,7,28
33,14,9,4
34,1,1,1
34,13,6,1
34,8,6,1
34,4,4,1
34,2,2,1
34,9,2,1
34,10,7,1
34,12,4,1
34,20,5,1
34,14,9,1
34,22,11,1
34,6,3,1
34,7,5,1
34,17,9,1
34,3,3,11
34,18,11,11
34,21,10,11
34,5,1,9
34,16,10,5
34,15,7,4
35,13,6,1
35,4,4,1
35,8,6,1
35,20,5,1
35,1,1,1
35,10,7,1
35,5,1,1
35,15,7,1
35,17,9,1
35,2,2,11
35,9,2,11
35,3,3,11
35,18,11,11
35,7,5,11
35,22,11,11
35,16,10,12
35,6,3,12
35,21,10,12
35,12,4,3
35,14,9,4
36,8,6,1
36,4,1,1
36,1,1,1
36,2,2,1
36,21,4,1
36,13,6,1
36,3,3,11
36,23,7,11
36,15,7,11
36,5,4,11
36,22,11,11
36,11,8,11
36,17,9,11
36,24,5,11
36,18,11,11
36,19,8,12
36,16,12,12
36,25,3,4
36,14,9,4
36,9,2,6
36,26,5,29
36,27,12,3
37,4,1,1
37,1,1,1
37,8,6,1
37,2,2,1
37,13,6,1
37,21,4,1
37,15,7,1
37,5,4,1
37,25,3,1
37,17,9,1
37,22,11,11
37,18,11,11
37,11,8,11
37,26,5,11
37,23,7,11
37,19,8,11
37,24,5,11
37,9,2,11
37,3,3,9
37,14,9,23
37,27,12,5
37,16,12,4
38,13,6,1
38,1,1,1
38,8,6,1
38,2,2,1
38,4,1,1
38,9,2,1
38,15,7,1
38,21,4,1
38,5,4,1
38,3,3,1
38,25,3,11
38,23,7,11
38,22,11,11
38,27,12,12
38,16,12,14
38,19,8,5
38,17,9,6
38,14,9,30
38,11,8,5
38,24,5,9
38,18,11,4
38,26,5,4
39,13,6,1
39,1,1,1
39,4,1,1
39,9,2,1
39,14,9,1
39,3,3,1
39,5,4,1
39,11,8,11
39,21,4,11
39,22,11,11
39,19,8,11
39,18,11,11
39,16,12,12
39,27,12,12
39,2,2,6
39,23,7,22
39,24,5,31
39,26,5,27
39,8,6,22
39,15,7,32
39,17,9,9
39,25,3,4
40,4,1,1
40,1,1,1
40,13,6,1
40,21,4,11
40,9,2,11
40,2,2,11
40,25,3,11
40,8,6,11
40,26,5,11
40,22,11,11
40,18,11,11
40,3,3,11
40,5,4,5
40,14,9,12
40,15,7,12
40,23,7,12
40,11,8,12
40,19,8,12
40,27,12,30
40,16,12,3
40,17,9,6
40,24,5,3
41,1,1,1
41,2,2,1
41,25,3,1
41,5,4,1
41,8,6,1
